ISO,NAME_0,CONTINENT,drug_cov_0_0,drug_cov_1_0,drug_0_efficacy,drug_1_efficacy
AFG,Afghanistan,Asia,NA,NA,0.75,0.95
AGO,Angola,Africa,0.4977525441359912,0.01527375411108586,0.75,0.95
BGD,Bangladesh,Asia,NA,NA,0.75,0.95
BEN,Benin,Africa,0.25618103450558727,0.05224764854785467,0.75,0.95
BTN,Bhutan,Asia,NA,NA,0.75,0.95
BOL,Bolivia,South America,NA,NA,0.75,0.95
BWA,Botswana,Africa,NA,NA,0.75,0.95
BRA,Brazil,South America,NA,NA,0.75,0.95
BFA,Burkina Faso,Africa,0.28882207568776547,0.41428005240861504,0.75,0.95
BDI,Burundi,Africa,0.5956400095142266,0.048630794113881395,0.75,0.95
KHM,Cambodia,Asia,NA,NA,0.75,0.95
CMR,Cameroon,Africa,0.22624151411524018,0.03645055639068756,0.75,0.95
CAF,Central African Republic,Africa,NA,NA,0.75,0.95
TCD,Chad,Africa,0.21311106863611506,0.015763450960531108,0.75,0.95
CHN,China,Asia,NA,NA,0.75,0.95
COL,Colombia,South America,NA,NA,0.75,0.95
COM,Comoros,Africa,NA,NA,0.75,0.95
COG,Congo (Brazzaville),Africa,0.42720671595859416,0.02002517545774974,0.75,0.95
COD,"Congo, Democratic Republic of the",Africa,0.35964822431747046,0.04404228774270297,0.75,0.95
CIV,Cote d'Ivoire,Africa,0.31162224602940797,0.019216203551675456,0.75,0.95
DJI,Djibouti,Africa,NA,NA,0.75,0.95
DOM,Dominican Republic,North America,NA,NA,0.75,0.95
ECU,Ecuador,South America,NA,NA,0.75,0.95
GNQ,Equatorial Guinea,Africa,NA,NA,0.75,0.95
ERI,Eritrea,Africa,NA,NA,0.75,0.95
ETH,Ethiopia,Africa,0.3300156544196098,0.0057543047448811915,0.75,0.95
GUF,French Guiana,South America,NA,NA,0.75,0.95
GAB,Gabon,Africa,0.4391496391679295,0.021018617480045635,0.75,0.95
GMB,Gambia,Africa,0.6108519132817288,0.034534609632883156,0.75,0.95
GHA,Ghana,Africa,0.2961728056138566,0.18958839958716037,0.75,0.95
GTM,Guatemala,North America,NA,NA,0.75,0.95
GIN,Guinea,Africa,0.3309933572007449,0.010028021547698614,0.75,0.95
GNB,Guinea-Bissau,Africa,NA,NA,0.75,0.95
GUY,Guyana,South America,NA,NA,0.75,0.95
HTI,Haiti,North America,NA,NA,0.75,0.95
HND,Honduras,North America,NA,NA,0.75,0.95
IND,India,Asia,NA,NA,0.75,0.95
IDN,Indonesia,Asia,NA,NA,0.75,0.95
IRN,"Iran, Islamic Republic of",Asia,NA,NA,0.75,0.95
KEN,Kenya,Africa,0.41755152065774775,0.20333837787649572,0.75,0.95
LAO,Lao PDR,Asia,NA,NA,0.75,0.95
LBR,Liberia,Africa,0.15720810686452785,0.40898138591926486,0.75,0.95
MDG,Madagascar,Africa,0.427044374184717,0.007741149272684875,0.75,0.95
MWI,Malawi,Africa,0.4357713287332845,0.0029783047324817395,0.75,0.95
MYS,Malaysia,Asia,NA,NA,0.75,0.95
MLI,Mali,Africa,0.2515789594426507,0.06003996635644126,0.75,0.95
MRT,Mauritania,Africa,NA,NA,0.75,0.95
MOZ,Mozambique,Africa,0.34536742190282405,0.3061207232231001,0.75,0.95
MMR,Myanmar,Asia,NA,NA,0.75,0.95
NAM,Namibia,Africa,NA,NA,0.75,0.95
NPL,Nepal,Asia,NA,NA,0.75,0.95
NIC,Nicaragua,North America,NA,NA,0.75,0.95
NER,Niger,Africa,NA,NA,0.75,0.95
NGA,Nigeria,Africa,0.4901260707900573,0.21160486767300338,0.75,0.95
PAK,Pakistan,Asia,NA,NA,0.75,0.95
PAN,Panama,North America,NA,NA,0.75,0.95
PNG,Papua New Guinea,Oceania,NA,NA,0.75,0.95
PER,Peru,South America,NA,NA,0.75,0.95
PHL,Philippines,Asia,NA,NA,0.75,0.95
RWA,Rwanda,Africa,NA,NA,0.75,0.95
SAU,Saudi Arabia,Asia,NA,NA,0.75,0.95
SEN,Senegal,Africa,0.3937437351472094,0.03015407353124883,0.75,0.95
SLE,Sierra Leone,Africa,0.16193156598728348,0.47573644159920964,0.75,0.95
SLB,Solomon Islands,Oceania,NA,NA,0.75,0.95
SOM,Somalia,Africa,NA,NA,0.75,0.95
ZAF,South Africa,Africa,NA,NA,0.75,0.95
SSD,South Sudan,Africa,NA,NA,0.75,0.95
SDN,Sudan,Africa,NA,NA,0.75,0.95
SUR,Suriname,South America,NA,NA,0.75,0.95
TZA,"Tanzania, United Republic of",Africa,0.21642546848012054,0.23754672272143476,0.75,0.95
THA,Thailand,Asia,NA,NA,0.75,0.95
TLS,Timor-Leste,Asia,NA,NA,0.75,0.95
TGO,Togo,Africa,0.36258775853487807,0.013357011275882022,0.75,0.95
UGA,Uganda,Africa,0.19415463399213184,0.5041001041964198,0.75,0.95
VUT,Vanuatu,Oceania,NA,NA,0.75,0.95
VEN,Venezuela (Bolivarian Republic of),South America,NA,NA,0.75,0.95
VNM,Viet Nam,Asia,NA,NA,0.75,0.95
YEM,Yemen,Asia,NA,NA,0.75,0.95
ZMB,Zambia,Africa,0.40646092404671785,0.3444948779023064,0.75,0.95
ZWE,Zimbabwe,Africa,0.44878219011506104,0.00343030308936937,0.75,0.95
